S.No.,No. of threads,Time (ns) - 1st iteration,Time (ns) - 2nd iteration,Time (ns) - 3rd iteration,Avg. Time (ns)
1,5,0.007112417,0.006444743,0.006462635,0.006673265
2,8,0.005902906,0.005004613,0.004925541,0.00527768666666667
3,11,0.00720629,0.006005377,0.006135443,0.00644903666666667
4,14,0.014942161,0.006519822,0.006112188,0.00919139033333333
5,17,0.008258456,0.007355743,0.007172926,0.00759570833333333
6,20,0.007520557,0.007591277,0.00936985,0.00816056133333333
7,23,0.009034335,0.011685779,0.008818548,0.00984622066666667
8,26,0.008097453,0.007858169,0.008449855,0.008135159
9,29,0.009555026,0.009349467,0.008956283,0.00928692533333333
10,32,0.010342722,0.009828208,0.009367111,0.00984601366666667
11,35,0.009327068,0.009981606,0.009563323,0.009623999
12,38,0.011597545,0.009923597,0.017746629,0.013089257
13,41,0.010496527,0.011220304,0.010940336,0.0108857223333333
14,44,0.011219641,0.011553622,0.011082482,0.0112852483333333
15,47,0.011499937,0.011322072,0.011663707,0.0114952386666667
16,50,0.012025551,0.012250006,0.012392199,0.0122225853333333
17,53,0.01282266,0.012577593,0.012364837,0.0125883633333333
18,56,0.012481833,0.012722002,0.012719522,0.012641119
19,59,0.013799232,0.014871573,0.013892195,0.0141876666666667
20,62,0.03792755,0.063219405,0.06651248,0.0558864783333333
21,65,0.055470585,0.055766771,0.05750932,0.056248892
22,68,0.071102541,0.048622582,0.047127834,0.0556176523333333
23,71,0.0667623,0.03477867,0.03937893,0.0469733
24,74,0.066404965,0.026487276,0.057853081,0.0502484406666667
25,77,0.053862814,0.041249667,0.086280694,0.0604643916666667
26,80,0.060681734,0.064253623,0.077760753,0.06756537
27,83,0.085367813,0.038630436,0.075789825,0.0665960246666667
28,86,0.055419496,0.054433884,0.045423698,0.051759026
29,89,0.075894845,0.038292417,0.06743381,0.0605403573333333
30,92,0.067234654,0.067946583,0.06293976,0.0660403323333333
31,95,0.055746531,0.065389211,0.070006129,0.063713957
32,98,0.069396633,0.065268906,0.068861709,0.067842416
33,101,0.022894565,0.056704128,0.040514935,0.040037876
34,104,0.079981506,0.067668735,0.076916669,0.0748556366666667
35,107,0.073150471,0.047145154,0.076930911,0.0657421786666667
36,110,0.067800382,0.054659195,0.070574678,0.0643447516666667
37,113,0.064307042,0.065972211,0.088472864,0.0729173723333333
38,116,0.072259073,0.073551248,0.078826357,0.0748788926666667
39,119,0.070957496,0.077597954,0.050904366,0.0664866053333333
40,122,0.073304608,0.086785287,0.092865002,0.084318299
41,125,0.101355798,0.058540656,0.064801258,0.0748992373333333
42,128,0.122585676,0.104193362,0.107561372,0.111446803333333
43,131,0.099923176,0.102585923,0.087571183,0.0966934273333334
44,134,0.153159829,0.125428651,0.146842772,0.141810417333333
45,137,0.081645538,0.127904683,0.117393386,0.108981202333333
46,140,0.133441575,0.091029331,0.095196632,0.106555846
47,143,0.134488095,0.126918354,0.130204577,0.130537008666667
48,146,0.092439648,0.127708868,0.112498504,0.11088234
49,149,0.126397767,0.132051387,0.118502189,0.125650447666667
50,152,0.102555374,0.109899226,0.108884364,0.107112988
51,155,0.104279747,0.083990161,0.118079362,0.102116423333333
52,158,0.129678198,0.063893221,0.085637062,0.0930694936666667
53,161,0.107937132,0.125228698,0.098902217,0.110689349
54,164,0.157068294,0.098749502,0.091946673,0.115921489666667
55,167,0.133915591,0.161744549,0.108112441,0.134590860333333
56,170,0.059554916,0.152781297,0.12814488,0.113493697666667
57,173,0.110578311,0.090407694,0.089176121,0.0967207086666667
58,176,0.132546838,0.111778907,0.093535398,0.112620381
59,179,0.118621563,0.076428506,0.06844813,0.087832733
60,182,0.090571643,0.094085765,0.143691103,0.109449503666667
61,185,0.098939973,0.082470128,0.152987196,0.111465765666667
62,188,0.132948474,0.12269884,0.1594794,0.138375571333333
63,191,0.105842034,0.124142475,0.074060011,0.101348173333333
64,194,0.098791047,0.160192753,0.097271018,0.118751606
65,197,0.110712904,0.138212623,0.121766808,0.123564111666667
66,200,0.127542805,0.123186945,0.126821629,0.125850459666667
67,203,0.111083135,0.136033033,0.094830277,0.113982148333333
68,206,0.115315465,0.131437613,0.104005492,0.116919523333333
69,209,0.137311356,0.09267944,0.092769899,0.107586898333333
70,212,0.14183262,0.148528557,0.103508522,0.131289899666667
71,215,0.115391988,0.11906974,0.123534829,0.119332185666667
72,218,0.122059663,0.133160739,0.064958759,0.106726387
73,221,0.147990483,0.10724655,0.146915988,0.134051007
74,224,0.212431077,0.071192978,0.093935813,0.125853289333333
75,227,0.143002587,0.096504941,0.06764438,0.102383969333333
76,230,0.125598623,0.135537601,0.158198773,0.139778332333333
77,233,0.180505368,0.098996693,0.184845105,0.154782388666667
78,236,0.094351669,0.112707099,0.191591947,0.132883571666667
79,239,0.119193413,0.137236543,0.194104608,0.150178188
80,242,0.152270031,0.092709108,0.176740377,0.140573172
81,245,0.170297103,0.132307382,0.166738227,0.156447570666667
82,248,0.129141151,0.143853324,0.182810966,0.151935147
83,251,0.103468602,0.17808639,0.142468371,0.141341121
84,254,0.181306433,0.149197207,0.145046665,0.158516768333333
85,257,0.157274054,0.146092828,0.111595277,0.138320719666667
86,260,0.194568198,0.172312482,0.106374407,0.157751695666667
87,263,0.102008824,0.130032352,0.191955454,0.14133221
88,266,0.130484698,0.102104347,0.173833343,0.135474129333333
89,269,0.134567268,0.159849563,0.230795142,0.175070657666667
90,272,0.164036067,0.165365914,0.255600146,0.195000709
91,275,0.283190391,0.177524104,0.155535921,0.205416805333333
92,278,0.171723485,0.142714715,0.142190383,0.152209527666667
93,281,0.213064606,0.153965025,0.136420385,0.167816672
94,284,0.174600665,0.141022798,0.264923234,0.193515565666667
95,287,0.176457583,0.203508056,0.135147394,0.171704344333333
96,290,0.186481736,0.1363866,0.099536355,0.140801563666667
97,293,0.150350948,0.161009838,0.143505218,0.151622001333333
98,296,0.204136736,0.194596088,0.141608737,0.180113853666667
99,299,0.152677105,0.178447588,0.132861064,0.154661919
100,302,0.270954931,0.167929844,0.178534393,0.205806389333333
101,305,0.175857544,0.127685873,0.182403738,0.161982385
102,308,0.148517786,0.174096149,0.16187243,0.161495455
103,311,0.133087272,0.203109726,0.137146069,0.157781022333333
104,314,0.16893028,0.1100845,0.136037317,0.138350699
105,317,0.261220181,0.140217195,0.134761821,0.178733065666667
106,320,0.227272088,0.182161222,0.12929676,0.17957669
107,323,0.236100614,0.156390175,0.135522063,0.176004284
108,326,0.141508443,0.180939204,0.219816843,0.18075483
109,329,0.204579607,0.202934461,0.255577003,0.221030357
110,332,0.252617455,0.158260414,0.183747258,0.198208375666667
111,335,0.207837205,0.120828212,0.191728893,0.17346477
112,338,0.251068588,0.222341,0.2113276,0.228245729333333
113,341,0.2702352,0.267266866,0.277436019,0.271646028333333
114,344,0.245450182,0.274206282,0.213761946,0.244472803333333
115,347,0.25348046,0.154220505,0.256700091,0.221467018666667
116,350,0.154810458,0.241266783,0.129029754,0.175035665
117,353,0.142914878,0.152592744,0.208770472,0.168092698
118,356,0.241456467,0.1818154,0.177801175,0.200357680666667
119,359,0.26296266,0.159130502,0.144357119,0.188816760333333
120,362,0.226922187,0.238868216,0.186888137,0.217559513333333
121,365,0.182874099,0.257211272,0.204245699,0.214777023333333
122,368,0.176015976,0.266104104,0.175316289,0.205812123
123,371,0.140366889,0.245370917,0.122888822,0.169542209333333
124,374,0.264785392,0.238869526,0.189861232,0.23117205
125,377,0.205609209,0.157580117,0.203173358,0.188787561333333
126,380,0.213412877,0.200496389,0.194380845,0.202763370333333
127,383,0.201289979,0.255259077,0.219155214,0.225234756666667
128,386,0.172316046,0.202687736,0.195068184,0.190023988666667
129,389,0.207520647,0.268855243,0.167091152,0.214489014
130,392,0.240293053,0.266381546,0.184258662,0.230311087
131,395,0.286913103,0.140770207,0.142682825,0.190122045
132,398,0.160570932,0.271269583,0.217204255,0.216348256666667
133,401,0.155735151,0.19142587,0.282092843,0.209751288
134,404,0.267553343,0.15470179,0.253199287,0.225151473333333
135,407,0.253154823,0.173855147,0.207194522,0.211401497333333
136,410,0.19527561,0.213461021,0.192764394,0.200500341666667
137,413,0.296363852,0.19273114,0.217297401,0.235464131
138,416,0.187980087,0.18083877,0.260991031,0.209936629333333
139,419,0.206813459,0.236541152,0.211947456,0.218434022333333
140,422,0.194843767,0.290086355,0.227196644,0.237375588666667
141,425,0.236938963,0.121063875,0.291542178,0.216515005333333
142,428,0.278102365,0.144047609,0.281890454,0.234680142666667
143,431,0.243555174,0.27662961,0.280590792,0.266925192
144,434,0.294736364,0.275111444,0.185504113,0.251783973666667
145,437,0.242850405,0.278755566,0.256943024,0.259516331666667
146,440,0.214220343,0.261375391,0.26659283,0.247396188
147,443,0.300141456,0.173639845,0.210989843,0.228257048
148,446,0.292733019,0.284114703,0.31817287,0.298340197333333
149,449,0.252072915,0.285729843,0.27656028,0.271454346
150,452,0.241758566,0.313726879,0.28144436,0.278976601666667
151,455,0.18721854,0.231929986,0.144570033,0.187906186333333
152,458,0.142691477,0.219253868,0.138174427,0.166706590666667
153,461,0.176413575,0.217681289,0.17086889,0.188321251333333
154,464,0.288291746,0.187036671,0.166922003,0.214083473333333
155,467,0.221013533,0.291357988,0.286096983,0.266156168
156,470,0.116653476,0.304345047,0.289482937,0.236827153333333
157,473,0.269175033,0.251607598,0.203922059,0.24156823
158,476,0.261145289,0.237664269,0.215681792,0.238163783333333
159,479,0.159363507,0.275810352,0.277649212,0.237607690333333
