S.No.,No. of threads,Time (ns) - 1st iteration,Time (ns) - 2nd iteration,Time (ns) - 3rd iteration,Avg. Time (ns)
1,2,0.002818991,0.002798997,0.002792633,0.00280354033333333
2,3,0.002793526,0.002796732,0.002811071,0.002800443
3,4,0.00177184,0.001836198,0.001786053,0.00179803033333333
4,5,0.002306979,0.002179354,0.002068603,0.00218497866666667
5,6,0.001887947,0.00192931,0.001906332,0.001907863
6,7,0.001789653,0.001691232,0.001770059,0.00175031466666667
7,8,0.001833214,0.002216904,0.001721358,0.00192382533333333
8,9,0.002251639,0.001893278,0.002256254,0.00213372366666667
9,10,0.00243806,0.002264399,0.002323567,0.00234200866666667
10,11,0.002892487,0.002378402,0.002285031,0.00251864
11,12,0.002900592,0.002693125,0.002065444,0.00255305366666667
12,13,0.002734394,0.002293268,0.002499126,0.00250892933333333
13,14,0.002506229,0.002718127,0.002643767,0.00262270766666667
14,15,0.003074964,0.00259776,0.002868618,0.002847114
15,16,0.002462449,0.003042451,0.003350217,0.00295170566666667
16,17,0.002535085,0.002795071,0.002816751,0.00271563566666667
17,18,0.002561196,0.002883257,0.003124601,0.00285635133333333
18,19,0.002830283,0.002944927,0.002927632,0.00290094733333333
19,20,0.002931687,0.003322701,0.002824036,0.00302614133333333
20,21,0.002960175,0.003144379,0.009506548,0.00520370066666667
21,22,0.003033976,0.002900492,0.004032355,0.00332227433333333
22,23,0.003044238,0.002913289,0.003825406,0.00326097766666667
23,24,0.003371761,0.003635095,0.003384002,0.00346361933333333
24,25,0.003123736,0.003242503,0.00309478,0.003153673
25,26,0.003217015,0.003559239,0.003428095,0.00340144966666667
26,27,0.002925387,0.00335755,0.00423645,0.00350646233333333
27,28,0.003523333,0.003650202,0.003338876,0.003504137
28,29,0.003512938,0.003661398,0.006697207,0.00462384766666667
29,30,0.004182787,0.003850946,0.003447743,0.00382715866666667
30,31,0.004262859,0.003856143,0.004310493,0.004143165
31,32,0.003922546,0.003325167,0.00381105,0.00368625433333333
32,33,0.003480671,0.00401211,0.003725523,0.00373943466666667
33,34,0.004628578,0.003487415,0.003544249,0.00388674733333333
34,35,0.003638886,0.004711385,0.003677185,0.004009152
35,36,0.004452773,0.00370734,0.011191653,0.00645058866666667
36,37,0.004224636,0.003810495,0.005113761,0.004382964
37,38,0.004241639,0.004425438,0.004299735,0.00432227066666667
38,39,0.004001291,0.004102414,0.003963537,0.004022414
39,40,0.004266136,0.004470875,0.003808943,0.00418198466666667
40,41,0.006335803,0.004422849,0.004289436,0.00501602933333333
41,42,0.005089824,0.005024038,0.004234066,0.00478264266666667
42,43,0.004940823,0.004734122,0.003978409,0.004551118
43,44,0.004611291,0.007078273,0.004563874,0.00541781266666667
44,45,0.004061196,0.005315645,0.004748793,0.00470854466666667
45,46,0.005047223,0.004426465,0.004758147,0.004743945
46,47,0.005175314,0.004894771,0.005263121,0.00511106866666667
47,48,0.004649513,0.004472959,0.004715731,0.00461273433333333
48,49,0.004579539,0.005995576,0.005036411,0.005203842
49,50,0.004917929,0.004396784,0.004791198,0.00470197033333333
50,51,0.005075551,0.005382008,0.005020955,0.00515950466666667
51,52,0.005260744,0.00531245,0.01754879,0.00937399466666667
52,53,0.004882837,0.005053447,0.005109392,0.00501522533333333
53,54,0.00530293,0.004852487,0.005205195,0.005120204
54,55,0.005661837,0.005255482,0.005281753,0.00539969066666667
55,56,0.005311601,0.005613947,0.006026841,0.00565079633333333
56,57,0.012985824,0.006074531,0.005385979,0.008148778
57,58,0.005413328,0.005477546,0.005098903,0.00532992566666667
58,59,0.005508156,0.013729403,0.005913004,0.008383521
59,60,0.005383383,0.005551921,0.005484097,0.00547313366666667
60,61,0.005463731,0.005859026,0.005807918,0.005710225
61,62,0.03987225,0.032496194,0.025166961,0.0325118016666667
62,63,0.030060782,0.038667646,0.040019402,0.0362492766666667
63,64,0.06669478,0.033422559,0.054900312,0.0516725503333333
64,65,0.051595104,0.034554073,0.030006305,0.038718494
65,66,0.027671755,0.052502206,0.027341747,0.0358385693333333
66,67,0.033696565,0.069951344,0.042283756,0.0486438883333333
67,68,0.03049569,0.033600617,0.047095589,0.0370639653333333
68,69,0.036161051,0.035124451,0.053573536,0.0416196793333333
69,70,0.028728073,0.02716916,0.07263521,0.0428441476666667
70,71,0.040850073,0.064884773,0.052377374,0.0527040733333333
71,72,0.055261062,0.036258661,0.047731975,0.0464172326666667
72,73,0.026259205,0.031535929,0.045294121,0.034363085
73,74,0.044219296,0.027833047,0.028103905,0.033385416
74,75,0.039669916,0.046555175,0.052106677,0.0461105893333333
75,76,0.033120792,0.047504361,0.043096884,0.041240679
76,77,0.038356616,0.038985077,0.04606547,0.041135721
77,78,0.047997502,0.052110866,0.053992025,0.0513667976666667
78,79,0.03441366,0.026729681,0.047851757,0.0363316993333333
79,80,0.030171311,0.041520679,0.027935137,0.0332090423333333
80,81,0.050647923,0.02805778,0.045939262,0.0415483216666667
81,82,0.054971003,0.03577551,0.051241054,0.047329189
82,83,0.03829994,0.036212699,0.048018606,0.0408437483333333
83,84,0.055670083,0.04171309,0.033164007,0.0435157266666667
84,85,0.047761829,0.030412527,0.037995583,0.038723313
85,86,0.065300427,0.035492606,0.038788929,0.0465273206666667
86,87,0.055482315,0.059664594,0.041633775,0.052260228
87,88,0.054021706,0.037535785,0.034221039,0.0419261766666667
88,89,0.039068924,0.037451032,0.048593449,0.0417044683333333
89,90,0.049745481,0.025647877,0.04614882,0.0405140593333333
90,91,0.045321103,0.040251689,0.046677171,0.044083321
91,92,0.051945823,0.048489606,0.038660729,0.046365386
92,93,0.053216955,0.044655505,0.052396069,0.0500895096666667
93,94,0.047767127,0.029482932,0.05241405,0.0432213696666667
94,95,0.034282419,0.040218273,0.045267802,0.0399228313333333
95,96,0.054640281,0.058283589,0.028494127,0.0471393323333333
96,97,0.054728172,0.055396137,0.059933329,0.0566858793333333
97,98,0.037465347,0.041048409,0.061847809,0.0467871883333333
98,99,0.056998646,0.059295043,0.049153765,0.0551491513333333
99,100,0.060684965,0.038844315,0.055405102,0.051644794
100,101,0.032380211,0.040151093,0.047990573,0.040173959
101,102,0.04457718,0.076128551,0.039260575,0.053322102
102,103,0.043771523,0.067850115,0.049620341,0.0537473263333333
103,104,0.087544773,0.051974372,0.036101073,0.0585400726666667
104,105,0.048628995,0.065585281,0.030907387,0.0483738876666667
105,106,0.035890887,0.056257018,0.05876276,0.050303555
106,107,0.054402565,0.042571446,0.034988601,0.0439875373333333
107,108,0.03673277,0.034361534,0.046927289,0.039340531
108,109,0.05074707,0.054340351,0.086315613,0.0638010113333333
109,110,0.054605874,0.057337292,0.038458371,0.0501338456666667
110,111,0.046137204,0.054050278,0.055000622,0.051729368
111,112,0.049370498,0.03968014,0.081779238,0.056943292
112,113,0.050549821,0.054482809,0.056114378,0.0537156693333333
113,114,0.04596783,0.053326648,0.047887263,0.0490605803333333
114,115,0.033649167,0.049915077,0.029681232,0.037748492
115,116,0.049130894,0.04487653,0.067685762,0.0538977286666667
116,117,0.033328799,0.0451607,0.062906159,0.047131886
117,118,0.047292651,0.0563602,0.059399703,0.0543508513333333
118,119,0.033284188,0.070776972,0.043375276,0.0491454786666667
119,120,0.046911943,0.059766849,0.049325991,0.0520015943333333
120,121,0.054378414,0.038141927,0.033928144,0.042149495
121,122,0.084847122,0.018070502,0.064201128,0.0557062506666667
122,123,0.038534102,0.044725574,0.062053968,0.0484378813333333
123,124,0.055540714,0.05754872,0.054803784,0.055964406
124,125,0.048171177,0.029399453,0.056617377,0.0447293356666667
125,126,0.087950514,0.061259528,0.080951046,0.0767203626666667
126,127,0.102136032,0.096379634,0.087008878,0.095174848
127,128,0.064547025,0.09553498,0.063875363,0.074652456
128,129,0.085756523,0.070488873,0.089454455,0.0818999503333333
129,130,0.0783057,0.101538243,0.107290589,0.0957115106666667
130,131,0.0840268,0.10842713,0.095842158,0.096098696
131,132,0.142788148,0.095221519,0.097833382,0.111947683
132,133,0.060858401,0.068013451,0.116358078,0.08174331
133,134,0.091346018,0.08073212,0.094961362,0.0890131666666667
134,135,0.080243373,0.060983225,0.101763776,0.0809967913333333
135,136,0.084999476,0.1219746,0.068364534,0.0917795366666667
136,137,0.082353603,0.079381153,0.072789253,0.0781746696666667
137,138,0.093056417,0.09246616,0.099627449,0.0950500086666667
138,139,0.061748706,0.062220027,0.104341296,0.076103343
139,140,0.081032029,0.088834667,0.089119507,0.0863287343333333
140,141,0.081951571,0.074986847,0.055314081,0.070750833
141,142,0.078587615,0.091475879,0.070829776,0.0802977566666667
142,143,0.042050446,0.09214582,0.06885183,0.0676826986666667
143,144,0.080344363,0.084213422,0.108493186,0.0910169903333333
144,145,0.081077192,0.064003398,0.12381388,0.08963149
145,146,0.073676941,0.116894703,0.102034279,0.0975353076666667
146,147,0.066024342,0.100162197,0.088903549,0.0850300293333333
147,148,0.102065575,0.094729149,0.059988267,0.0855943303333333
148,149,0.090033292,0.081554731,0.048095887,0.07322797
149,150,0.090547753,0.061832892,0.077864238,0.0767482943333333
150,151,0.068742805,0.058092748,0.096074076,0.0743032096666667
151,152,0.053917608,0.128488787,0.092356074,0.0915874896666667
152,153,0.067291084,0.10587897,0.10430305,0.0924910346666667
153,154,0.050254929,0.07363914,0.055708844,0.0598676376666667
154,155,0.086727245,0.092050667,0.077283547,0.0853538196666667
155,156,0.066967527,0.081449055,0.12529275,0.091236444
156,157,0.06960154,0.110739155,0.090381072,0.090240589
157,158,0.091005271,0.106778373,0.081767482,0.0931837086666667
158,159,0.067486449,0.083535346,0.095005371,0.0820090553333333
159,160,0.074137488,0.071236764,0.072293633,0.0725559616666667
160,161,0.093741295,0.09113563,0.084379565,0.0897521633333333
161,162,0.10605706,0.095237835,0.103364098,0.101552997666667
162,163,0.104479109,0.060083178,0.095855047,0.086805778
163,164,0.08577245,0.053140608,0.110815175,0.0832427443333333
164,165,0.05354234,0.096490596,0.056365452,0.0687994626666667
165,166,0.128730615,0.105806952,0.094197656,0.109578407666667
166,167,0.077555485,0.098928001,0.093864464,0.0901159833333333
167,168,0.066473641,0.085173438,0.135448713,0.0956985973333333
168,169,0.077775285,0.08125803,0.0984684,0.085833905
169,170,0.066690898,0.085163371,0.067222637,0.0730256353333333
170,171,0.073669451,0.095721698,0.07324207,0.0808777396666667
171,172,0.105196131,0.08254791,0.10479146,0.0975118336666667
172,173,0.06745423,0.132595716,0.116300947,0.105450297666667
173,174,0.082739247,0.110063381,0.071008934,0.0879371873333333
