S.No.,No. of threads,Time (ns) - 1st iteration,Time (ns) – 1s2nditeration,Time (ns) - 3rd iteration,Time (ns) - 4th iteration,Avg. Time (ns)
1,2,0.131162514,0.000477735,0.000425458,0.000429208,0.03312372875
2,3,0.000458375,0.000479267,0.00046422,0.000479473,0.00047033375
3,4,0.000948812,0.000454554,0.000433899,0.00056112,0.00059959625
4,5,0.000457169,0.000511859,0.000580972,0.000571104,0.000530276
5,6,0.000746546,0.000842924,0.000453913,0.000466303,0.0006274215
6,7,0.000624252,0.000619227,0.000509929,0.000455605,0.00055225325
7,8,0.000697004,0.00092661,0.000779006,0.000561486,0.0007410265
8,9,0.000808362,0.00064949,0.00073702,0.000666113,0.00071524625
9,10,0.003208361,0.000913086,0.000652694,0.000704341,0.0013696205
10,11,0.000986417,0.000609777,0.000807248,0.000960991,0.00084110825
11,12,0.001204481,0.000833132,0.000646585,0.000591494,0.000818923
12,13,0.000747597,0.000890107,0.000790379,0.001051891,0.0008699935
13,14,0.000787444,0.000668104,0.000930681,0.001259798,0.00091150675
14,15,0.003409009,0.000659111,0.0010095,0.001037969,0.00152889725
15,16,0.001305305,0.000847422,0.000740436,0.000857024,0.00093754675
16,17,0.003665596,0.000752575,0.000773296,0.000935397,0.001531716
17,18,0.001144134,0.001116296,0.000850366,0.000857086,0.0009919705
18,19,0.001390908,0.001139782,0.005185778,0.00076175,0.0021195545
19,20,0.002409358,0.000947063,0.000836691,0.000863465,0.00126414425
20,21,0.003238632,0.000888854,0.00101606,0.001052736,0.0015490705
21,22,0.003473912,0.003559627,0.001018192,0.001165632,0.00230434075
22,23,0.001073262,0.000775348,0.000812668,0.001085078,0.000936589
23,24,0.000878757,0.000785749,0.000716207,0.00101559,0.00084907575
24,25,0.001312623,0.000928103,0.000964384,0.001071027,0.00106903425
25,26,0.001003033,0.000853139,0.00101633,0.000900064,0.0009431415
26,27,0.003983794,0.000851457,0.00101855,0.001469292,0.00183077325
27,28,0.004988201,0.001361072,0.000973559,0.001152103,0.00211873375
28,29,0.004162108,0.001109017,0.000898325,0.001316641,0.00187152275
29,30,0.001273071,0.001153562,0.001165355,0.001460157,0.00126303625
30,31,0.005849223,0.001152584,0.001179933,0.00106702,0.00231219
31,32,0.001673282,0.00115986,0.000954806,0.001019496,0.001201861
32,33,0.00091526,0.001239725,0.000917104,0.001401939,0.001118507
33,34,0.001010886,0.000982716,0.001071147,0.001101803,0.001041638
34,35,0.00227202,0.001206668,0.00111354,0.000923864,0.001379023
35,36,0.001195499,0.001173596,0.00136243,0.001197503,0.001232257
36,37,0.002515735,0.001227036,0.001455748,0.001063975,0.0015656235
37,38,0.006258125,0.001509482,0.001348613,0.001488702,0.0026512305
38,39,0.006806536,0.001261906,0.001281981,0.001079649,0.002607518
39,40,0.001706246,0.001109513,0.001458056,0.001194458,0.00136706825
40,41,0.001967477,0.001203778,0.001173257,0.001401646,0.0014365395
41,42,0.00177338,0.001587023,0.00151982,0.001231324,0.00152788675
42,43,0.001594983,0.0013973,0.00147283,0.004088455,0.002138392
43,44,0.001418196,0.001661463,0.001584357,0.0013176,0.001495404
44,45,0.002578958,0.001488094,0.001221544,0.001459698,0.0016870735
45,46,0.001691778,0.001380989,0.001244671,0.005787519,0.00252623925
46,47,0.001243019,0.00161002,0.001195584,0.001362236,0.00135271475
47,48,0.001515844,0.001227774,0.001579124,0.001641375,0.00149102925
48,49,0.001629435,0.001292998,0.001516173,0.001308938,0.001436886
49,50,0.002447325,0.001703037,0.001361476,0.001324778,0.001709154
50,51,0.001667808,0.001830729,0.001521382,0.001670325,0.001672561
51,52,0.002320566,0.002145918,0.006857856,0.001633939,0.00323956975
52,53,0.00140966,0.00142345,0.001371385,0.001775357,0.001494963
53,54,0.00152184,0.00187617,0.001464327,0.001388609,0.0015627365
54,55,0.00156362,0.001754744,0.001801732,0.001654806,0.0016937255
55,56,0.001496374,0.007056957,0.001696207,0.001564579,0.00295352925
