S.No.,No. of threads,Time (ns) - 1st iteration,Time (ns) - 2nd iteration,Avg. Time (ns)
1,1,0.916737692,0.918731911,0.9177348015
2,101,0.904514789,0.902211508,0.9033631485
3,201,0.924505916,0.911642311,0.9180741135
4,301,0.945615436,0.91033415,0.927974793
5,401,0.931009824,0.916690929,0.9238503765
6,501,0.930388702,0.936864418,0.93362656
7,601,0.958769228,0.937639088,0.948204158
8,701,0.964784145,0.932425802,0.9486049735
9,801,0.957821067,0.944024179,0.950922623
10,901,0.983358475,0.945860434,0.9646094545
11,1001,0.96927813,0.951559294,0.960418712
12,1101,0.959745651,0.959431146,0.9595883985
13,1201,0.979771133,0.947703694,0.9637374135
14,1301,0.982742101,0.949065908,0.9659040045
15,1401,0.968907672,0.956835724,0.962871698
16,1501,0.966001223,0.946544692,0.9562729575
17,1601,0.957129193,0.959205561,0.958167377
18,1701,0.949631694,0.952130571,0.9508811325
19,1801,0.983265133,0.949417555,0.966341344
20,1901,0.960052566,0.946988345,0.9535204555
21,2001,0.964067352,0.951958896,0.958013124
22,2101,0.966100091,0.939053596,0.9525768435
23,2201,0.963518776,1.025985012,0.994751894
24,2301,0.979354511,1.088376278,1.0338653945
25,2401,0.957252554,1.108605636,1.032929095
26,2501,0.985028775,1.376661923,1.180845349
27,2601,0.987572,1.132350072,1.059961036
28,2701,1.030579371,1.140377979,1.085478675
29,2801,1.075938146,1.184864863,1.1304015045
30,2901,1.075767651,1.158081361,1.116924506
31,3001,1.089582167,1.102715797,1.096148982
32,3101,1.086311858,1.120559816,1.103435837
33,3201,1.081385566,1.138545827,1.1099656965
34,3301,1.062679461,1.135478731,1.099079096
35,3401,1.04938704,1.124918387,1.0871527135
36,3501,1.076479153,1.111611096,1.0940451245
37,3601,1.051595127,1.135556361,1.093575744
38,3701,1.059445249,1.103490495,1.081467872
39,3801,1.062333756,1.116313858,1.089323807
40,3901,1.057479536,1.096572315,1.0770259255
41,4001,1.046026005,1.127952447,1.086989226
42,4101,1.049124645,1.102073241,1.075598943
43,4201,1.098153108,1.112891994,1.105522551
44,4301,1.054882605,1.168682275,1.11178244
45,4401,1.126084307,1.092827703,1.109456005
46,4501,1.099869988,1.130005994,1.114937991
47,4601,1.062299448,1.102754195,1.0825268215
48,4701,1.066993514,1.09477549,1.080884502
49,4801,1.065772323,1.111783378,1.0887778505
50,4901,1.098636533,1.09756197,1.0980992515
51,5001,1.079199077,1.199240626,1.1392198515
52,5101,1.069571676,1.133075281,1.1013234785
53,5201,1.067915987,1.117038938,1.0924774625
54,5301,1.103925576,1.109685993,1.1068057845
55,5401,1.086186582,1.142611924,1.114399253
56,5501,1.082348393,1.09117415,1.0867612715
57,5601,1.086531558,1.08047702,1.083504289
58,5701,1.07156025,1.113583161,1.0925717055
59,5801,1.073517608,1.101172912,1.08734526
60,5901,1.100878808,1.123607086,1.112242947
61,6001,1.122959148,1.09196386,1.107461504
62,6101,1.105936149,1.11234231,1.1091392295
63,6201,1.065259101,1.103888187,1.084573644
64,6301,1.085245212,1.127218072,1.106231642
65,6401,1.071023492,1.13706716,1.104045326
66,6501,1.104315723,1.101967307,1.103141515
67,6601,1.094446221,1.116467836,1.1054570285
68,6701,1.25309958,1.113921889,1.1835107345
69,6801,1.16581319,1.124605511,1.1452093505
70,6901,1.068656498,1.130912668,1.099784583
71,7001,1.084893622,1.129604574,1.107249098
72,7101,1.064286164,1.133273604,1.098779884
73,7201,1.112683304,1.122207318,1.117445311
74,7301,1.068311591,1.103859433,1.086085512
75,7401,1.103372203,1.085901188,1.0946366955
76,7501,1.090893176,1.113395269,1.1021442225
77,7601,1.107452015,1.100279546,1.1038657805
78,7701,1.075829729,1.112564037,1.094196883
79,7801,1.077770448,1.140449522,1.109109985
80,7901,1.073907383,1.105313435,1.089610409
81,8001,1.092988683,1.112274455,1.102631569
82,8101,1.083122133,1.1007949,1.0919585165
83,8201,1.085722221,1.106202767,1.095962494
84,8301,1.056098464,1.200470007,1.1282842355
85,8401,1.080885989,1.139507791,1.11019689
86,8501,1.090071248,1.126605236,1.108338242
87,8601,1.105932444,1.121887376,1.11390991
88,8701,1.08864016,1.138294618,1.113467389
89,8801,1.073581487,1.114923711,1.094252599
90,8901,1.077383452,1.09919541,1.088289431
91,9001,1.061608795,1.084163149,1.072885972
92,9101,1.100037081,1.0888596,1.0944483405
93,9201,1.079535213,1.093154204,1.0863447085
94,9301,1.191571857,1.157173673,1.174372765
95,9401,1.090180378,1.11253,1.101355189
96,9501,1.132390554,1.088786105,1.1105883295
97,9601,1.075795934,1.125107223,1.1004515785
98,9701,1.132649033,1.096698476,1.1146737545
99,9801,1.092275023,1.129077366,1.1106761945
100,9901,1.081634688,1.139143602,1.110389145
