S.No.,No. of threads,Time (ns) - 1st iteration,Time (ns) - 2nd iteration,Avg. Time (ns)
1,1,0.27052913,0.270905844,0.270717487
2,11,0.239049539,0.237751576,0.2384005575
3,21,0.247883977,0.242972961,0.245428469
4,31,0.257657544,0.26244014,0.260048842
5,41,0.260956201,0.259642363,0.260299282
6,51,0.268286935,0.281746465,0.2750167
7,61,0.272627154,0.275966878,0.274297016
8,71,0.271716013,0.286402963,0.279059488
9,81,0.282970526,0.289727222,0.286348874
10,91,0.273962603,0.281154916,0.2775587595
11,101,0.273947501,0.282137109,0.278042305
12,111,0.280064594,0.274114851,0.2770897225
13,121,0.273876478,0.28188005,0.277878264
14,131,0.281852957,0.280954918,0.2814039375
15,141,0.285028594,0.287331079,0.2861798365
16,151,0.279730565,0.285113515,0.28242204
17,161,0.298307668,0.291090787,0.2946992275
18,171,0.281627715,0.28406904,0.2828483775
19,181,0.297059738,0.289837228,0.293448483
20,191,0.281797686,0.282121337,0.2819595115
21,201,0.279665443,0.288324465,0.283994954
22,211,0.287875706,0.287527191,0.2877014485
23,221,0.283479787,0.287347763,0.285413775
24,231,0.287602344,0.285731387,0.2866668655
25,241,0.291762406,0.298121221,0.2949418135
26,251,0.288309034,0.28445091,0.286379972
27,261,0.283445277,0.294801683,0.28912348
28,271,0.2870203,0.290131355,0.2885758275
29,281,0.287540271,0.284315623,0.285927947
30,291,0.293005476,0.287007752,0.290006614
31,301,0.292818891,0.291474219,0.292146555
32,311,0.29235052,0.303352264,0.297851392
33,321,0.299060578,0.295213541,0.2971370595
34,331,0.288423533,0.288094396,0.2882589645
35,341,0.292101261,0.294305511,0.293203386
36,351,0.288633231,0.286073798,0.2873535145
37,361,0.295333056,0.296446924,0.29588999
38,371,0.290039447,0.304558082,0.2972987645
39,381,0.313053666,0.296018737,0.3045362015
40,391,0.292976971,0.286711291,0.289844131
41,401,0.289906156,0.30059225,0.295249203
42,411,0.290496947,0.288186199,0.289341573
43,421,0.30670243,0.291619978,0.299161204
44,431,0.294352328,0.29595594,0.295154134
45,441,0.310570379,0.289260699,0.299915539
46,451,0.294776932,0.293095463,0.2939361975
47,461,0.293734869,0.292492587,0.293113728
48,471,0.295564116,0.297534275,0.2965491955
49,481,0.302483592,0.292596938,0.297540265
50,491,0.30033848,0.289686777,0.2950126285
51,501,0.290722188,0.297610721,0.2941664545
52,511,0.291864689,0.298132213,0.294998451
53,521,0.294398921,0.300044216,0.2972215685
54,531,0.301196255,0.293407292,0.2973017735
55,541,0.293869459,0.293142737,0.293506098
56,551,0.288889967,0.29162757,0.2902587685
57,561,0.317211416,0.291399624,0.30430552
58,571,0.300992876,0.296130592,0.298561734
59,581,0.292464033,0.30018717,0.2963256015
60,591,0.293460933,0.29743066,0.2954457965
61,601,0.295396854,0.296253306,0.29582508
62,611,0.300965305,0.297528584,0.2992469445
63,621,0.303744124,0.294305524,0.299024824
64,631,0.301247046,0.29310848,0.297177763
65,641,0.299277376,0.287129258,0.293203317
66,651,0.29292279,0.293013743,0.2929682665
67,661,0.306337288,0.291532496,0.298934892
68,671,0.293604158,0.307882542,0.30074335
69,681,0.293044141,0.292694121,0.292869131
70,691,0.298798171,0.291363001,0.295080586
71,701,0.301068663,0.297466189,0.299267426
72,711,0.294527928,0.316057736,0.305292832
73,721,0.303573758,0.350998078,0.327285918
74,731,0.299279809,0.338915729,0.319097769
75,741,0.292968511,0.335468983,0.314218747
76,751,0.301970379,0.337421,0.3196956895
77,761,0.299403354,0.33609802,0.317750687
78,771,0.300063019,0.334620875,0.317341947
79,781,0.295157745,0.333599196,0.3143784705
80,791,0.308729082,0.331117477,0.3199232795
81,801,0.306612,0.340218295,0.3234151475
82,811,0.318443039,0.330920214,0.3246816265
83,821,0.325315837,0.337225512,0.3312706745
84,831,0.327239927,0.335625283,0.331432605
85,841,0.320237598,0.334474423,0.3273560105
86,851,0.327825135,0.332103018,0.3299640765
87,861,0.326679623,0.334686346,0.3306829845
88,871,0.326722964,0.33594474,0.331333852
89,881,0.324508301,0.328765138,0.3266367195
90,891,0.331536983,0.336418683,0.333977833
91,901,0.33789856,0.335360937,0.3366297485
92,911,0.330916066,0.336136025,0.3335260455
93,921,0.33270767,0.339455875,0.3360817725
94,931,0.320716271,0.326151431,0.323433851
95,941,0.327503584,0.351730021,0.3396168025
96,951,0.341393577,0.329372689,0.335383133
97,961,0.337083978,0.324154283,0.3306191305
98,971,0.328008162,0.332419058,0.33021361
99,981,0.328974351,0.331125359,0.330049855
100,991,0.327420535,0.341219163,0.334319849
101,1001,0.32793388,0.32814871,0.328041295
102,1011,0.324131376,0.334129204,0.32913029
103,1021,0.32972745,0.330115129,0.3299212895
104,1031,0.330889283,0.359020071,0.344954677
105,1041,0.334282893,0.346787295,0.340535094
106,1051,0.322575013,0.325141894,0.3238584535
107,1061,0.327140784,0.331383273,0.3292620285
108,1071,0.328364529,0.332628192,0.3304963605
109,1081,0.333413345,0.344443621,0.338928483
110,1091,0.328842729,0.341607031,0.33522488
111,1101,0.322437768,0.331951772,0.32719477
112,1111,0.325778579,0.335655486,0.3307170325
113,1121,0.328273478,0.336812249,0.3325428635
114,1131,0.337898998,0.336590047,0.3372445225
115,1141,0.319235078,0.335142796,0.327188937
116,1151,0.33288031,0.326447495,0.3296639025
117,1161,0.325989961,0.328588219,0.32728909
118,1171,0.330538467,0.336538824,0.3335386455
119,1181,0.346842225,0.35780867,0.3523254475
120,1191,0.464705655,0.338732327,0.401718991
121,1201,0.386195082,0.338129484,0.362162283
122,1211,0.372393006,0.346339242,0.359366124
123,1221,0.40393716,0.342635452,0.373286306
124,1231,0.360482833,0.328829237,0.344656035
125,1241,0.456709437,0.345347416,0.4010284265
126,1251,0.425551448,0.333233668,0.379392558
127,1261,0.40781516,0.331999726,0.369907443
128,1271,0.351353025,0.332431301,0.341892163
129,1281,0.341983974,0.334293128,0.338138551
130,1291,0.34023348,0.327372723,0.3338031015
131,1301,0.324406081,0.330256561,0.327331321
132,1311,0.326130662,0.330199296,0.328164979
133,1321,0.327433675,0.327337262,0.3273854685
134,1331,0.327070756,0.326042176,0.326556466
135,1341,0.332552451,0.355828661,0.344190556
136,1351,0.333233485,0.343120368,0.3381769265
137,1361,0.330083146,0.331873787,0.3309784665
138,1371,0.330247871,0.332870254,0.3315590625
139,1381,0.324258804,0.338253377,0.3312560905
140,1391,0.332715423,0.334594863,0.333655143
141,1401,0.325401457,0.348120635,0.336761046
142,1411,0.335698343,0.33539653,0.3355474365
143,1421,0.328683427,0.350366632,0.3395250295
144,1431,0.332360501,0.329969986,0.3311652435
145,1441,0.365822991,0.352744653,0.359283822
146,1451,0.447890198,0.335967602,0.3919289
147,1461,0.377540599,0.329606788,0.3535736935
148,1471,0.346715636,0.338728773,0.3427222045
149,1481,0.343444546,0.341519642,0.342482094
150,1491,0.32379549,0.356437519,0.3401165045
151,1501,0.330703833,0.341147663,0.335925748
152,1511,0.308255209,0.329904001,0.319079605
153,1521,0.303830383,0.335306687,0.319568535
154,1531,0.316575535,0.349615472,0.3330955035
155,1541,0.304393056,0.329960604,0.31717683
156,1551,0.300222384,0.341154423,0.3206884035
157,1561,0.318063181,0.330366665,0.324214923
158,1571,0.31635563,0.331826256,0.324090943
159,1581,0.313838788,0.343301966,0.328570377
160,1591,0.306242127,0.337625291,0.321933709
161,1601,0.305514966,0.350732078,0.328123522
162,1611,0.316550121,0.333550429,0.325050275
163,1621,0.306207003,0.337305424,0.3217562135
164,1631,0.309461965,0.335765429,0.322613697
165,1641,0.307102614,0.333189384,0.320145999
166,1651,0.300833029,0.33807954,0.3194562845
167,1661,0.306904958,0.330773556,0.318839257
168,1671,0.299964403,0.353119304,0.3265418535
169,1681,0.303677177,0.42174008,0.3627086285
170,1691,0.30923603,0.387405048,0.348320539
171,1701,0.307852094,0.356972133,0.3324121135
172,1711,0.306633919,0.356357976,0.3314959475
173,1721,0.301762343,0.341304823,0.321533583
174,1731,0.309747005,0.33551894,0.3226329725
175,1741,0.305599859,0.347460021,0.32652994
176,1751,0.315565149,0.332398299,0.323981724
177,1761,0.314088716,0.341085742,0.327587229
178,1771,0.305813365,0.349144235,0.3274788
179,1781,0.314734332,0.344314848,0.32952459
180,1791,0.309911576,0.342837909,0.3263747425
181,1801,0.299883906,0.32954019,0.314712048
182,1811,0.304690805,0.335597016,0.3201439105
183,1821,0.30891552,0.329071769,0.3189936445
184,1831,0.310398326,0.340338349,0.3253683375
185,1841,0.31124877,0.337462808,0.324355789
186,1851,0.3083113,0.342460858,0.325386079
187,1861,0.301632868,0.332436879,0.3170348735
188,1871,0.300594508,0.333080567,0.3168375375
189,1881,0.302553179,0.333590022,0.3180716005
190,1891,0.308782509,0.337198908,0.3229907085
191,1901,0.307230242,0.349289871,0.3282600565
192,1911,0.307620515,0.335204166,0.3214123405
193,1921,0.323304107,0.337157625,0.330230866
194,1931,0.30553677,0.329682048,0.317609409
195,1941,0.305876269,0.351401585,0.328638927
196,1951,0.316639997,0.350461226,0.3335506115
197,1961,0.313285683,0.340176919,0.326731301
198,1971,0.311275875,0.351528986,0.3314024305
199,1981,0.318564223,0.335317852,0.3269410375
200,1991,0.303376391,0.347240924,0.3253086575
201,2001,0.302569542,0.346469894,0.324519718
202,2011,0.320655933,0.338078665,0.329367299
203,2021,0.30704732,0.334885975,0.3209666475
204,2031,0.300585785,0.356433886,0.3285098355
205,2041,0.309948878,0.339125362,0.32453712
206,2051,0.312569081,0.351707549,0.332138315
207,2061,0.353909152,0.340005062,0.346957107
208,2071,0.310374959,0.329083032,0.3197289955
209,2081,0.316554745,0.328217101,0.322385923
210,2091,0.306911002,0.33112932,0.319020161
211,2101,0.317770653,0.351666827,0.33471874
212,2111,0.302733199,0.33878893,0.3207610645
213,2121,0.300874242,0.359477281,0.3301757615
214,2131,0.314211523,0.352483407,0.333347465
215,2141,0.308168424,0.340858056,0.32451324
216,2151,0.308652269,0.337485417,0.323068843
217,2161,0.301316538,0.332831478,0.317074008
218,2171,0.307226516,0.337906343,0.3225664295
219,2181,0.317720017,0.334031616,0.3258758165
220,2191,0.304335975,0.351157182,0.3277465785
