S.No.,No. of threads,Time (ns) - 1st iteration,Time (ns) - 2nd iteration,Avg. Time (ns)
1,1,0.012035407,0.015008108,0.0135217575
2,11,0.010292598,0.011429733,0.0108611655
3,21,0.010801412,0.011652218,0.011226815
4,31,0.017260766,0.012063631,0.0146621985
5,41,0.012022432,0.011546798,0.011784615
6,51,0.010743313,0.01180911,0.0112762115
7,61,0.0117076,0.010908308,0.011307954
8,71,0.011432897,0.012364462,0.0118986795
9,81,0.010990817,0.011769285,0.011380051
10,91,0.011392624,0.011307484,0.011350054
11,101,0.011965296,0.011844518,0.011904907
12,111,0.015410468,0.011289214,0.013349841
13,121,0.012263246,0.012024395,0.0121438205
14,131,0.012149509,0.010981994,0.0115657515
15,141,0.012413156,0.012055547,0.0122343515
16,151,0.012639237,0.012461378,0.0125503075
17,161,0.012369223,0.01261387,0.0124915465
18,171,0.012402047,0.012175859,0.012288953
19,181,0.011553506,0.011773666,0.011663586
20,191,0.011885631,0.01153033,0.0117079805
21,201,0.011900048,0.012326913,0.0121134805
22,211,0.012659973,0.012665232,0.0126626025
23,221,0.011482753,0.012289171,0.011885962
24,231,0.012501973,0.011804828,0.0121534005
25,241,0.012017553,0.012846053,0.012431803
26,251,0.011876744,0.012662056,0.0122694
27,261,0.011713173,0.011362418,0.0115377955
28,271,0.012510189,0.012495687,0.012502938
29,281,0.012389415,0.011428353,0.011908884
30,291,0.012313354,0.011466466,0.01188991
31,301,0.012963373,0.012797368,0.0128803705
32,311,0.011221007,0.012431041,0.011826024
33,321,0.01152741,0.012072045,0.0117997275
34,331,0.01167254,0.011847923,0.0117602315
35,341,0.012673719,0.011870215,0.012271967
36,351,0.011504653,0.011665874,0.0115852635
37,361,0.013095102,0.012137119,0.0126161105
38,371,0.01336768,0.01298055,0.013174115
39,381,0.012640164,0.020928426,0.016784295
40,391,0.019907881,0.012340395,0.016124138
41,401,0.012670495,0.012680008,0.0126752515
42,411,0.012948118,0.012478886,0.012713502
43,421,0.013340062,0.012542372,0.012941217
44,431,0.01280665,0.012553779,0.0126802145
45,441,0.012601831,0.012658092,0.0126299615
46,451,0.01267854,0.012921125,0.0127998325
47,461,0.013013422,0.012827051,0.0129202365
48,471,0.012895875,0.0117965,0.0123461875
