S.No.,Workload Size P1,Workload Size P2,Total Turnaround Time P1,Waiting Time P1,Total Turnaround Time P2,Waiting Time P2
1,200,1000,0.005049477,0.001075292,0.003172856,0.001089147
2,800,8000,0.005032333,0.0010988,0.003209461,0.001092563
3,1800,27000,0.004759058,0.001069695,0.003126135,0.001019756
4,3200,64000,0.005332486,0.001100967,0.003165206,0.001023859
5,5000,125000,0.005233015,0.00114192,0.003170934,0.001065497
6,7200,216000,0.005105946,0.001116016,0.003187568,0.00106983
7,9800,343000,0.005660849,0.001081461,0.003136536,0.001047156
8,12800,512000,0.005416748,0.00111154,0.003256538,0.001084548
9,16200,729000,0.007503855,0.002116256,0.005605204,0.002157357
10,20000,1000000,0.007697549,0.002116344,0.006584946,0.002153857
11,24200,1331000,0.007771353,0.002132802,0.006544964,0.002354317
12,28800,1728000,0.010104063,0.003260945,0.008189827,0.003428609
13,33800,2197000,0.010063753,0.003246887,0.008855048,0.003370647
14,39200,2744000,0.010759937,0.003259261,0.009620286,0.003973639
15,45000,3375000,0.012864415,0.00428137,0.014600225,0.00474353
16,51200,4096000,0.010975999,0.003196262,0.015119197,0.004013507
17,57800,4913000,0.014452049,0.00446252,0.015961505,0.006217434
18,64800,5832000,0.014075957,0.004241397,0.016464055,0.005378248
19,72200,6859000,0.013399091,0.003216108,0.017164298,0.006112671
20,80000,8000000,0.017479671,0.005278621,0.022114248,0.008487803
